Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,16227.009766,16256.730469,16096.370117,16189.120117,16189.120117,5020180000
2021-11-16,16170.290039,16329.500000,16156.690430,16309.769531,16309.769531,5533020000
2021-11-17,16329.070313,16398.949219,16276.769531,16308.070313,16308.070313,5049320000
2021-11-18,16398.759766,16501.919922,16309.509766,16482.970703,16482.970703,5391360000
2021-11-19,16558.560547,16625.859375,16523.830078,16573.339844,16573.339844,4875310000
2021-11-22,16644.769531,16764.859375,16374.780273,16380.980469,16380.980469,5567830000
2021-11-23,16330.179688,16417.500000,16121.700195,16306.719727,16306.719727,5434380000
2021-11-24,16202.259766,16370.559570,16106.019531,16367.809570,16367.809570,4197090000
2021-11-26,16237.410156,16302.580078,15988.950195,16025.580078,16025.580078,3502170000
2021-11-29,16263.429688,16437.160156,16214.559570,16399.240234,16399.240234,4836230000
2021-11-30,16333.950195,16454.560547,16073.759766,16135.919922,16135.919922,6631470000
2021-12-01,16347.959961,16427.189453,15864.000000,15877.719727,15877.719727,6320260000
2021-12-02,15791.299805,16066.320313,15770.919922,15990.759766,15990.759766,5418340000
2021-12-03,16039.410156,16089.610352,15543.309570,15712.040039,15712.040039,5900290000
2021-12-06,15744.910156,15898.589844,15557.780273,15846.160156,15846.160156,5115230000
2021-12-07,16139.559570,16343.669922,16128.440430,16325.660156,16325.660156,5116490000
2021-12-08,16313.879883,16401.099609,16250.389648,16394.339844,16394.339844,4615390000
2021-12-09,16337.809570,16413.279297,16141.389648,16149.570313,16149.570313,4515600000
2021-12-10,16278.299805,16339.120117,16139.000000,16331.980469,16331.980469,4426210000
2021-12-13,16317.900391,16332.629883,16075.540039,16082.549805,16082.549805,4573920000
2021-12-14,15877.650391,15995.209961,15742.799805,15914.900391,15914.900391,4865990000
2021-12-15,15908.450195,16301.269531,15746.940430,16289.589844,16289.589844,5343920000
2021-12-16,16335.030273,16340.530273,15802.629883,15863.940430,15863.940430,4906480000
2021-12-17,15714.540039,15960.250000,15664.099609,15801.459961,15801.459961,7668770000
2021-12-20,15566.830078,15662.610352,15508.740234,15627.639648,15627.639648,4602640000
2021-12-21,15794.379883,15997.610352,15617.480469,15986.280273,15986.280273,4581720000
2021-12-22,15963.540039,16186.250000,15947.559570,16180.139648,16180.139648,4107900000
2021-12-23,16203.759766,16360.750000,16188.030273,16308.209961,16308.209961,3935010000
2021-12-27,16361.070313,16567.640625,16361.070313,16567.500000,16567.500000,3743920000
2021-12-28,16602.919922,16607.189453,16458.490234,16488.660156,16488.660156,3648500000
2021-12-29,16510.630859,16548.919922,16396.160156,16491.009766,16491.009766,3714380000
2021-12-30,16485.400391,16569.619141,16415.119141,16429.099609,16429.099609,3750920000
2021-12-31,16411.259766,16464.619141,16317.259766,16320.080078,16320.080078,3392580000
2022-01-03,16395.509766,16504.140625,16306.639648,16501.769531,16501.769531,4429960000
2022-01-04,16513.869141,16513.869141,16151.900391,16279.730469,16279.730469,5131110000
2022-01-05,16190.549805,16249.230469,15763.839844,15771.780273,15771.780273,5031850000
2022-01-06,15675.219727,15900.599609,15608.570313,15765.360352,15765.360352,4790820000
2022-01-07,15774.129883,15835.000000,15526.799805,15592.190430,15592.190430,4238070000
2022-01-10,15383.179688,15627.919922,15165.530273,15614.429688,15614.429688,5317180000
2022-01-11,15582.719727,15848.559570,15496.910156,15844.120117,15844.120117,4390710000
2022-01-12,15955.480469,16017.389648,15815.950195,15905.099609,15905.099609,4338530000
2022-01-13,15970.089844,15990.379883,15468.089844,15495.620117,15495.620117,4302020000
2022-01-14,15396.469727,15617.179688,15396.469727,15611.589844,15611.589844,4374020000
2022-01-18,15378.059570,15446.299805,15182.959961,15210.759766,15210.759766,5060790000
2022-01-19,15287.250000,15382.000000,15038.440430,15047.839844,15047.839844,4665340000
2022-01-20,15176.379883,15347.620117,14832.690430,14846.459961,14846.459961,5102050000
2022-01-21,14728.660156,14868.450195,14432.639648,14438.400391,14438.400391,5870830000
2022-01-24,14160.910156,14532.570313,13724.849609,14509.580078,14509.580078,6998770000
2022-01-25,14237.599609,14410.429688,14033.809570,14149.120117,14149.120117,5019380000
2022-01-26,14492.519531,14646.540039,14006.400391,14172.759766,14172.759766,5771140000
2022-01-27,14346.459961,14419.450195,13972.879883,14003.110352,14003.110352,5177380000
2022-01-28,14091.309570,14457.780273,13880.480469,14454.610352,14454.610352,4971930000
2022-01-31,14505.070313,14934.519531,14442.879883,14930.049805,14930.049805,5124940000
2022-02-01,14966.599609,15034.419922,14749.490234,15019.679688,15019.679688,4671850000
2022-02-02,15173.030273,15196.400391,14960.849609,15139.740234,15139.740234,4673140000
2022-02-03,14693.849609,14856.509766,14471.200195,14501.110352,14501.110352,4326300000
2022-02-04,14566.280273,14832.049805,14452.280273,14694.349609,14694.349609,4121340000
2022-02-07,14716.429688,14813.860352,14524.629883,14571.250000,14571.250000,4268730000
2022-02-08,14533.250000,14785.219727,14485.780273,14747.030273,14747.030273,4293770000
2022-02-09,14930.990234,15057.900391,14870.360352,15056.959961,15056.959961,4729730000
2022-02-10,14770.679688,15037.259766,14636.620117,14705.639648,14705.639648,5212510000
2022-02-11,14739.459961,14769.639648,14194.540039,14253.839844,14253.839844,5237320000
2022-02-14,14233.400391,14400.780273,14119.730469,14268.589844,14268.589844,4347350000
2022-02-15,14482.110352,14624.530273,14444.459961,14620.820313,14620.820313,4416840000
2022-02-16,14514.839844,14647.790039,14399.290039,14603.639648,14603.639648,4238560000
2022-02-17,14485.080078,14497.459961,14155.429688,14171.740234,14171.740234,4278370000
2022-02-18,14207.549805,14225.719727,13918.759766,14009.540039,14009.540039,4501940000
2022-02-22,13892.809570,14109.259766,13720.919922,13870.530273,13870.530273,4849170000
2022-02-23,14016.940430,14035.929688,13502.580078,13509.429688,13509.429688,4639330000
2022-02-24,13065.440430,13989.099609,13065.440430,13974.669922,13974.669922,6180200000
2022-02-25,13973.900391,14193.000000,13850.290039,14189.160156,14189.160156,4628720000
2022-02-28,14058.610352,14296.599609,14009.360352,14237.809570,14237.809570,5928130000
2022-03-01,14197.660156,14271.580078,13906.919922,14005.990234,14005.990234,6131350000
2022-03-02,14075.110352,14292.719727,13962.690430,14243.690430,14243.690430,5246390000
2022-03-03,14339.700195,14342.559570,13965.110352,14035.209961,14035.209961,5092580000
2022-03-04,13957.599609,13992.969727,13738.610352,13837.830078,13837.830078,5343900000
2022-03-07,13853.530273,13879.099609,13314.440430,13319.379883,13319.379883,6195370000
2022-03-08,13275.230469,13663.269531,13129.400391,13267.610352,13267.610352,6683960000
2022-03-09,13610.480469,13793.110352,13504.480469,13742.200195,13742.200195,5396550000
2022-03-10,13577.839844,13633.690430,13399.459961,13591.000000,13591.000000,5071250000
2022-03-11,13701.799805,13714.440430,13285.190430,13301.830078,13301.830078,5288210000
2022-03-14,13248.089844,13386.669922,13020.400391,13046.639648,13046.639648,5876710000
2022-03-15,13174.969727,13488.179688,13092.450195,13458.559570,13458.559570,5440100000
